terms_1,prob_1,terms_2,prob_2,terms_3,prob_3,terms_4,prob_4,terms_5,prob_5,terms_6,prob_6,terms_7,prob_7,terms_8,prob_8,terms_9,prob_9,terms_10,prob_10
oil,0.0311546632321815,walrus,0.0242499315357927,arctic,0.0627680095477317,race,0.014562603952288,ice,0.0329512676169244,alaska,0.0197691045859976,village,0.026659657695308,polar_bear,0.0594717391259936,people,0.0140360515330682,alaska,0.0269856493269474
drill,0.0245684255374038,whale,0.0183919344629776,ship,0.0181220547448222,year,0.0144257924804506,warm,0.0251837191077547,camp,0.0175267316724825,storm,0.0115442248009084,bear,0.0250892249735951,work,0.0115443559342132,state,0.0193159970621833
shell,0.0189593744442251,animal,0.0147646916934327,u.s,0.0178643294284644,nome,0.0129599552821932,scientist,0.0162413634397248,anchorage,0.0142839154590914,barrow,0.0115442248009084,list,0.0233935929625143,time,0.0113342129319002,anchorage,0.00948879329326593
plan,0.0143079662206136,ice,0.0144563760580214,region,0.00906201862362786,iditarod,0.0123149869149599,year,0.0148315948490926,age,0.012403772016221,community,0.0110017154519758,sea_ice,0.0152014431258465,live,0.00956300762668996,alaskan,0.00948879329326593
company,0.0124513116775753,fish,0.0136402464348738,water,0.00884394335594047,dog,0.0122758979230064,alaska,0.0146242759387055,june,0.0119207993886947,resident,0.00972962456482332,threaten,0.0139552557442088,film,0.00800194532379284,support,0.00781890754005139
alaska,0.0110832504353366,year,0.0125883460317057,alaska,0.00850691794224177,run,0.0106146157649813,temperature,0.0128136907879915,cost,0.0111963404474051,city,0.00922452965374809,decision,0.0107887140367687,make,0.00782182275038164,climate_change,0.00730168628905575
gas,0.00934385828449029,find,0.0109016781438673,international,0.00807076740686699,mile,0.0103800818132602,arctic,0.0126754781810668,learn,0.0102993912819991,people,0.00825175426945504,habitat,0.0102371229006339,life,0.00759666953361763,good,0.00724257528894196
pipeline,0.00895298364385066,water,0.00965027938837433,vessel,0.00717864131178221,trail,0.00946149050235218,sea_ice,0.0121640915354453,center,0.0101441500802942,report,0.00823304705052633,specie,0.00878664250561295,find,0.00740153674575549,energy,0.00706524228860059
arctic,0.00885526498369075,sea_ice,0.00939637239450617,marine,0.00713899126311178,musher,0.00928559003856129,change,0.0114730285008217,free,0.00976467158723779,move,0.00709190669587487,loss,0.00780603604137342,alaska,0.00603560723072051,million,0.00653324328757649
offshore,0.00748720374145206,island,0.00932382753911528,coast_guard,0.00713899126311178,team,0.0090510560868401,study,0.0104640764702712,july,0.0092644499372998,mile,0.00656810456587093,study,0.00774474813735845,man,0.00587049487176023,year,0.00644457678740581
water,0.00674454192423677,food,0.00867092384059719,nation,0.0068217908737483,snow,0.00881652213511892,winter,0.00916487796517872,day,0.00897121655630167,wind,0.00656810456587093,population,0.0077038895346818,thing,0.00567536208389809,public,0.00619335503692221
exploration,0.00664682326407686,seal,0.00847142548827222,port,0.00652441550872004,fuel,0.00877743314316539,record,0.00909577166171635,include,0.00814326348054225,alaska,0.00649327569015607,agency,0.00766303093200516,book,0.00566035186944716,fund,0.0060012442865524
work,0.00649047340782101,alaska,0.00818124606670862,include,0.00616756507068613,time,0.0087187996552351,ocean,0.00887463149063679,program,0.00786727912195576,state,0.00630620350086895,group,0.00713186909720875,write,0.00549523951048689,alaska's,0.00588302228632482
environmental,0.00586507398279761,hunt,0.00796361150053593,world,0.00598913985166917,good,0.00856244368742097,climate,0.00884698896925185,student,0.00752229867372266,anchorage,0.005782401370865,federal,0.00711143979587042,place,0.00545020886713409,issue,0.00554313403567053
north_slope,0.00582598651873364,bering_sea,0.00761902343742916,meet,0.00596931482733395,back,0.00834745423167655,university,0.00873641888371206,road,0.00710832213584295,boat,0.00555791474372045,global_warm,0.00668242446776563,story,0.00540517822378129,people,0.0054692452855283
spill,0.0057673553226377,bird,0.00680289381428154,plan,0.00596931482733395,start,0.00817155376788566,summer,0.00837706610570777,week,0.00669434559796324,water,0.00546437864907689,wildlife_service,0.00666199516642731,world,0.00539016800933035,cost,0.00533624553527227
permit,0.00572826785857374,sea,0.00678475760043382,president,0.00596931482733395,hour,0.00756567439260593,degree,0.00816974719532067,park,0.00650460635143503,accord,0.00544567143014818,decline,0.00658027796107401,land,0.00525507607927195,program,0.00505546828473178
lease,0.00566963666247779,biologist,0.00674848517273837,icebreaker,0.00587018970565787,march,0.00750704090467563,melt,0.00794860702424111,contact,0.00590089056702712,official,0.00542696421121947,state,0.00647813145438239,north,0.00522505565037007,percent,0.00504069053470333
platform,0.00557191800231789,hunter,0.0066215316758043,change,0.00577106458398178,win,0.00727250695295445,report,0.00778275189593143,art,0.00553866109638237,man,0.00538954977336204,protection,0.00647813145438239,made,0.00498489221915513,work,0.0049372462845042
hilcorp,0.00541556814606203,number,0.00589608312189531,work,0.00573141453531134,day,0.00717478447307062,water,0.00740957785723467,a.m,0.00524542771538423,service,0.00507152705157393,center,0.00627383844099916,good,0.00490984114690046,global_warm,0.00484857978433352
cook_inlet,0.00541556814606203,shore,0.00587794690804758,climate_change,0.00571158951097612,leave,0.00641254912997676,research,0.00624859195906696,game,0.00519368064814927,home,0.00503411261371651,seal,0.00625340913966083,turn,0.00490984114690046,money,0.00474513553413439
federal,0.00539602441403006,spot,0.00553335884494081,sea,0.00541421414594786,river,0.006393004634,high,0.00577866909552288,child,0.00505568846885603,rescue,0.00484704042442938,alaska,0.00617169193430754,back,0.00480476964574393,bill,0.00473035778410594
shell's,0.00523967455777421,population,0.00549708641724537,russia,0.00521596390259569,finish,0.00629528215411617,accord,0.00575102657413794,meet,0.00498669237920941,erosion,0.00477221154871453,endanger_specie_act,0.00592654031824766,long,0.00465466750123459,congress,0.0046860245340206
chukchi_sea,0.00504423723745439,summer,0.00515249835413859,national,0.00519613887826047,ice,0.00596302572251116,low,0.00572338405275299,st,0.00496944335679775,tuesday,0.00473479711085711,wildlife,0.00549752499014286,late,0.00460963685788179,government,0.00450869153367923
oil_spill,0.00496606230932647,small,0.00497113621566135,polar,0.00503753868357874,reach,0.00531805735527789,weather,0.00565427774929062,experience,0.00462446290856466,call,0.00467867545407097,protect,0.00545666638746621,feel,0.00459462664343086,reduce,0.00450869153367923
area,0.00484879991713458,spring,0.00491672757411817,route,0.00497806361057308,winter,0.00514215689148701,satellite,0.00535021001405622,session,0.004607213886153,road,0.00460384657835612,court,0.00545666638746621,call,0.00457961642897992,federal,0.00449391378365078
ship,0.00480971245307061,time,0.004862318932575,research,0.00479963839155613,trip,0.00510306789953347,glacier,0.00512906984297666,group,0.00457271584132969,pilot,0.00454772492156998,endanger,0.00515022686739136,give,0.00454959600007805,job,0.00446435828359389
leak,0.0046142751327508,feed,0.00484418271872727,north,0.00468068824554482,place,0.00473172247597493,north,0.00504614227882182,activity,0.00445197268444811,week,0.00439806717014028,u.s,0.0049255045526698,director,0.00441450407001965,price,0.004434802783537
include,0.00459473140071882,eat,0.00484418271872727,increase,0.00444278795352221,home,0.00453627751620728,average,0.00497703597535946,school,0.00440022561721315,crew,0.00439806717014028,petition,0.00480292874463986,big,0.00436947342666685,increase,0.00442002503350855
begin,0.00455564393665486,area,0.0046446843664023,make,0.00432383780751091,lead,0.00439946604436992,increase,0.00467296824012506,music,0.00438297659480149,search,0.00434194551335415,threat,0.00476207014196322,home,0.00426440192551031,community,0.00434613628336631
test,0.00443838154446297,harvest,0.00459027572485913,unite_state,0.00428418775884047,wind,0.00404766511678813,early,0.00464532571874011,summer,0.00426223343791991,town,0.00430453107549672,science,0.0043126255125201,day,0.00424939171105938,pay,0.00434613628336631
alaska's,0.00437975034836702,early,0.00448145844177278,russian,0.00420488766149961,break,0.0040085761248346,cold,0.00449329185112291,event,0.00421048637068494,island,0.0041174588862096,fish,0.0042309083071668,native,0.00381409549198229,time,0.00421313653311029
agency,0.00432111915227108,long,0.00448145844177278,interest,0.00406611249115308,record,0.00396948713288107,area,0.00449329185112291,class,0.00419323734827329,flood,0.00409875166728089,cub,0.00414919110181351,become,0.00372403420527669,make,0.0041244700329396
beaufort_sea,0.00416476929601523,specie,0.00448145844177278,policy,0.00400663741814743,follow,0.00389130914897401,heat,0.0043965430262756,play,0.00410699223621501,police,0.00408004444835218,hunt,0.00412876180047519,open,0.00357393206076735,letter,0.00402102578274048
barge,0.00391070077959947,large,0.00446332222792505,ocean,0.00384803722346569,cross,0.00389130914897401,time,0.00435507924419818,community,0.00408974321380336,build,0.00404263001049475,u.s_fish,0.00410833249913686,white,0.00357393206076735,mine,0.00394713703259824
chukchi,0.00385206958350353,scientist,0.0044270498002296,arctic_ocean,0.00384803722346569,travel,0.00387176465299725,snow,0.00432743672281323,wednesday,0.00398624907933343,kotzebue,0.00402392279156604,effect,0.00404704459512189,family,0.00351389120296362,industry,0.00393235928256979
operation,0.00375435092334362,mile,0.00440891358638188,effort,0.00378856215046004,make,0.00381313116506695,datum,0.00421686663727345,club,0.00383100787762853,weather,0.00400521557263733,biological_diversity,0.00404704459512189,die,0.00346886055961082,economy,0.0039028037825129
vessel,0.00369571972724768,beach,0.00428196008944781,canada,0.00366961200444874,king,0.00367631969322959,condition,0.00417540285519604,offer,0.00377926081039357,damage,0.00400521557263733,alaska's,0.00390403948575363,eskimo,0.00345385034515988,vote,0.00388802603248445
year,0.00357845733505579,catch,0.00395550824018876,challenge,0.00361013693144308,ski,0.00361768620529929,northern,0.00417540285519604,ave,0.00377926081039357,coast,0.0039678011347799,climate_change,0.00382232228040033,caribou,0.00345385034515988,tax,0.00382891503237066
summer,0.00357845733505579,crab,0.00391923581249331,obama,0.003511011809767,sunday,0.00359814170932253,permafrost,0.00417540285519604,high_school,0.00376201178798192,land,0.00394909391585119,lawsuit,0.00372017577370872,light,0.00340881970180708,problem,0.00381413728234221
