year,ndocs,1,2,3,4,5,6,7,8,9,10
1995,11,0.0725232584554107,0.112312962082112,0.0456127226356586,0.147175782396475,0.0827297637281678,0.051795022087815,0.088513236986893,0.0295773073765459,0.303682178365565,0.0660777658853567
1996,12,0.0519776332000505,0.0872755794027972,0.0853777400800389,0.18181323651326,0.0457354789747154,0.100204245075539,0.121704855307592,0.0400671920056432,0.147052363053262,0.138791676387102
1997,10,0.067625397613252,0.0386668708500979,0.0549230004115448,0.15227539951356,0.119330648126861,0.0604494595518311,0.132418919195032,0.0366281885445094,0.131330485164331,0.206351631028982
1998,4,0.0779739953106787,0.0662493691231128,0.0748715206315709,0.126639174550607,0.0713208481895668,0.0468901951471047,0.156257373703982,0.0433635031782017,0.217379266829644,0.119054753335532
1999,12,0.115178746361437,0.108544991543326,0.0663418884709375,0.118376933429556,0.109084546231088,0.0777712943684349,0.128521634339891,0.0447334188371375,0.136231927761929,0.0952146186562638
2000,10,0.0763520581756346,0.0788085309850742,0.074589370389424,0.123394368437519,0.187007358902817,0.0622597102856221,0.108752977795293,0.0461722538094013,0.124610676403516,0.118052694815699
2001,19,0.0549325036732172,0.0646907130394241,0.0549389646656286,0.0964982764978354,0.101210188116619,0.11769563282315,0.218446004413325,0.0367510932535403,0.118215356266674,0.136621267250586
2002,19,0.0770244893296773,0.106640144609308,0.0584335072667409,0.112812510801078,0.0920048023568814,0.0992042375038849,0.159043064594827,0.0454929343032255,0.157993844022317,0.0913504652120594
2003,21,0.0682019738546112,0.111847618618649,0.0715859252758476,0.0892167152330602,0.197936746014224,0.0876041204165328,0.107246003418477,0.0450684068213902,0.126016196772406,0.0952762935748019
2004,28,0.0457973663193664,0.111180908914147,0.088765288224233,0.07514833671396,0.181970127315272,0.0700897787375479,0.119788281294314,0.0555629222215589,0.110069412749352,0.141627577510249
2005,54,0.036292560443127,0.0844011852108078,0.0737633862099393,0.0840453493114199,0.248354846258957,0.0596195987471856,0.0954306090512878,0.077189271306042,0.12668435217869,0.114218841282544
2006,55,0.0693282362000925,0.0925614013563623,0.0602080122275875,0.118345236234732,0.136389430469386,0.0977873196883906,0.109521974182972,0.0901350229722883,0.0955553860782954,0.130167980589893
2007,108,0.0560900637799708,0.104668856715973,0.0492668755938979,0.0734372654202387,0.139450150218082,0.134723476898499,0.0740886747079744,0.124041973730901,0.0993236682789119,0.144908994655551
2008,103,0.0829114148977423,0.0618474996673507,0.0594463386572554,0.0680468394964797,0.0955958595089057,0.0702116929512787,0.0811296062458342,0.253120975165375,0.0771506340785559,0.150539139331223
2009,68,0.106547155041483,0.105395311665022,0.0953628326671348,0.052199437047609,0.117406448121329,0.085131368603155,0.090056565248662,0.1668100660065,0.0729739780139684,0.108116837585137
2010,62,0.0706254775222288,0.0898819903818522,0.0636402445007532,0.0853166803821024,0.0885285888298034,0.112178288514039,0.0986448806069662,0.147556093939281,0.123069740350143,0.120558014972831
2011,80,0.0818721577245068,0.0915792797621125,0.0966803293168121,0.0790386818538566,0.105609468106004,0.075023126742413,0.110141095186344,0.170087040618175,0.102221005386604,0.0877478153031717
2012,99,0.18693161766684,0.100493883421372,0.0877343139052537,0.139986959863405,0.101903839369733,0.0561421881534048,0.0756099200147509,0.0891617128645452,0.095059913079667,0.0669756516610292
2013,54,0.0937175179372386,0.0986940970064091,0.0834617870262474,0.0850877029178057,0.127896971939321,0.0904779837761758,0.112205904931325,0.0987884563272197,0.116212721787293,0.0934568563509643
2014,65,0.0697896265618604,0.128830045043366,0.112812574052692,0.0656808035707628,0.212412767229911,0.0583188237562439,0.107841236197604,0.0881369964668815,0.0856855533108737,0.0704915738098046
2015,155,0.154526949135331,0.120957006145683,0.155254471461086,0.0604864563177084,0.135430633922252,0.0409340432203202,0.111423857478676,0.0550951209867157,0.0807784604503802,0.0851130008818481
2016,80,0.065520664718913,0.112292835754011,0.151657403980085,0.0544759349436496,0.216458325659325,0.057110009096663,0.0909240723923568,0.0671857310207054,0.0901646576762522,0.0942103647580395
2017,110,0.145186929794669,0.114058175946896,0.119098507622759,0.0793491221577349,0.164584360480697,0.0573951251907719,0.0812073987820487,0.0672945314017111,0.088920352522441,0.0829054961002727
2018,49,0.0700099177652209,0.11249422287782,0.116261771809581,0.0937651952631596,0.142372896628764,0.0508800177859266,0.131239160617534,0.0599089077626521,0.116243068123171,0.10682484136617
2019,46,0.0585202594303774,0.142281745254292,0.0875928882144215,0.164258713594813,0.136872868798867,0.0442595364146734,0.0845980667343808,0.0706271253141247,0.0925534195169369,0.118435376727114
2020,20,0.0430897963428207,0.152648291510784,0.104432627648729,0.0783707079419231,0.190397281524647,0.0586028754150137,0.0670739073114508,0.0362900511191668,0.157702490094209,0.111391971091256
2021,21,0.0939897875758746,0.108922876981588,0.122204662799997,0.109141671564751,0.112394685061094,0.0435793426422548,0.1104450547914,0.0909997414912709,0.0917905530807665,0.116531624011003
